Años,Total,Variación total respecto año anterior,Vías interurbanas,Variación interurbanas respecto año anterior,Vías urbanas,Variación urbanas respecto año anterior
1993,79925,-7368,35814,-3307,44111,-4061
1994,78474,-1451,34354,-1460,44120,9
1995,83586,5112,37217,2863,46369,2249
1996,85588,2002,37434,217,48154,1785
1997,86067,479,36551,-883,49516,1362
1998,97570,11503,44388,7837,53182,3666
1999,97811,241,44784,396,53027,-155
2000,101729,3918,44720,-64,57009,3982
2001,100393,-1336,45483,763,54910,-2099
2002,98433,-1960,44871,-612,53562,-1348
2003,99987,1554,47567,2696,52420,-1142
2004,94009,-5978,43787,-3780,50222,-2198
2005,91187,-2822,42624,-1163,48563,-1659
2006,99797,8610,49221,6597,50576,2013
2007,100508,711,49820,599,50688,112
2008,93161,-7347,43831,-5989,49330,-1358
2009,88251,-4910,40789,-3042,47462,-1868
2010,85503,-2748,39174,-1615,46329,-1133
2011,83027,-2476,35878,-3296,47149,820
2012,83115,88,35425,-453,47690,541
2013,89519,6404,37297,1872,52222,4532
2014,91570,2051,35147,-2150,56423,4201
2015,97756,6186,34558,-589,63198,6775
2016,102362,4606,36721,2163,65641,2443
2017,102233,-129,37493,772,64740,-901
2018,102299,66,37892,399,64407,-333
2019,104080,1781,37339,-553,66741,2334
